utt,labels,tokenized
okay this is the medic so I think do you want to try more of like a scouting type plan like b b do all the scouting initially,"['Medic', 'Plan', 'YesNoQuestion']","[6, 20, 18]"
Amicus,['0'],[0]
yeah,['0'],[0]
mhm,['0'],[0]
yeah,['0'],[0]
yeah always so I think this is the medic I think like it's saying like where the meetings are so I think that's probably where like people are more likely going to be so we probably would have prioritized checking those first,"['Medic', 'Meeting']","[6, 9]"
and then,['Precedence'],[11]
let's see I guess if you want our planet like a path it might be best to like start,['Plan'],[20]
it might actually be best to start in the middle and then work our way either left or right because the middle is where we spawn,"['Precedence', 'Precedence']","[11, 11]"
yeah like I said B1,['Room'],[3]
start with D4 and then,"['Room', 'Precedence']","[3, 11]"
D4 C gets is because there's a meeting and D4 start with D4 then go over to is F4 in the same area,"['Room', 'Room', 'Room', 'Room', 'KnowledgeSharing', 'Meeting', 'Precedence']","[3, 3, 3, 3, 13, 9, 11]"
yeah the go over to F4 and G3,"['Room', 'Room']","[3, 3]"
yeah mmm,['0'],[0]
Yeah I'm dead what actually this is the medic yeah I guess I'll talk about it no more walking me and the engineer can probably carry the victims outside of the places that have like Rubble inside them or dangers so then you can pick them up without having to go inside again,"['Victim', 'HelpRequest', 'Plan', 'Engineer', 'Plan', 'Plan', 'Medic', 'Precedence', 'Rubble']","[2, 16, 20, 4, 20, 20, 6, 11, 7]"
all right so we can leave people in dangerous areas outside,['Plan'],[20]
okay engineer to enter so critical in here yeah,"['Engineer', 'Move']","[4, 10]"
all right if you want to carry that outside,['0'],[0]
and I guess yeah,['0'],[0]
okay and then,['Precedence'],[11]
did you check to check the F1 whatever,"['Room', 'Search', 'Search', 'YesNoQuestion']","[3, 15, 15, 18]"
okay this is where there is a,['0'],[0]
okay hold this one here,['0'],[0]
okay I found two,['0'],[0]
Thursday type A and type B,"['Victim', 'Victim']","[2, 2]"
um,['0'],[0]
alright engineer to what I come over to the F2 F3 area okay,"['Engineer', 'Room', 'Room']","[4, 3, 3]"
and then this is the medic transporter I left I left two people in D2,"['Room', 'Medic', 'Precedence', 'Transporter']","[3, 6, 11, 5]"
this critical up here,['0'],[0]
and I put a critical in the hallway,['CriticalVictim'],[1]
and then engineer you just follow me close I think there's another one up here,"['Engineer', 'Precedence']","[4, 11]"
other that sorry that's the one you know it's not okay so we got that b there's two critical Zone here speak out that one but,['KnowledgeSharing'],[13]
not one over here,['0'],[0]
okay all right yeah we're here so if the Index close,['0'],[0]
they're going to break that one,['0'],[0]
in case you want to grab engineer toilet trapped tool I grabbed the critical length in the hallway,"['HelpRequest', 'CriticalVictim', 'Engineer']","[16, 1, 4]"
okay here's the type A,['Victim'],[2]
that's a critical I think the critical,"['CriticalVictim', 'CriticalVictim']","[1, 1]"
another one you picked up is critical all right I'm Type A is right here,['Victim'],[2]
all right let's go off to the right engineer this is medic,"['Engineer', 'Instruction', 'Medic']","[4, 19, 6]"
so i2a and M1 so looks like,['Room'],[3]
that is down here and,['0'],[0]
okay it's on the other side this one here,['0'],[0]
I am,['0'],[0]
I marked two more and J1 so they enter B they're labeled,"['Move', 'Room']","[10, 3]"
set a critical in here engineer button help me get through this,"['CriticalVictim', 'Engineer', 'Instruction', 'Instruction']","[1, 4, 19, 19]"
we're gonna destroy the label I'm sorry okay those are critical in this one and sight said there was,['0'],[0]
I'm just going to get it okay,['0'],[0]
I'm gonna for the following to go to M1,"['Room', 'Move']","[3, 10]"
homicide,['0'],[0]
okay looks like a lot of problem here,['0'],[0]
nothing,['0'],[0]
and it's a lot of it looks like there's a lot of rubble in front of is this a entrance,['Rubble'],[7]
I think they have to destroy I2 care zone of - not,['Room'],[3]
it's also Rubble in here and,['Rubble'],[7]
did you get the ones from J1,"['Room', 'YesNoQuestion']","[3, 18]"
okay I i2a or,['0'],[0]
oh that's weird it's okay,['0'],[0]
all right I'll take the critical,"['CriticalVictim', 'Plan']","[1, 20]"
this one engineer inside of,['Engineer'],[4]
inside of I3 okay right there is one in here,['Room'],[3]
don't take this critical outside,['Instruction'],[19]
hi this is medic gonna take those transporter,"['Medic', 'Transporter']","[6, 5]"
engineer are you close B I2 I2 A4,"['Room', 'Engineer', 'Room', 'Room', 'ReportLocation']","[3, 4, 3, 3, 14]"
okay do I take that type B outside,"['Victim', 'YesNoQuestion']","[2, 18]"
leave lots of others a couple in the hallway or try this is medic transport transport Tater take okay,"['Medic', 'Transporter', 'Transporter']","[6, 5, 5]"
looks like we got older we want to list it says medic engineer D1 a kind of thing over to the left side of the map so it looks like they have less stuff I've gotten so far over there and then transport area just get those last ones and then put a bit of silver in the left side,"['Room', 'Search', 'Transporter', 'Engineer', 'Medic', 'Precedence', 'Precedence', 'Precedence']","[3, 15, 5, 4, 6, 11, 11, 11]"
yes it has GPS signal loss I think that's part of the thing okay I'm inside A1 it looks like there was nothing all right there is two in sight gear engineer if you want to help me grab one of them,"['Room', 'Plan', 'Engineer', 'Instruction', 'KnowledgeSharing', 'ReportLocation', 'Search']","[3, 20, 4, 19, 13, 14, 15]"
die,['Instruction'],[19]
all right engineer the one you're grabbing is a Type A,"['Engineer', 'Victim']","[4, 2]"
but yeah this place is outside and label it,['0'],[0]
so we'll be leaving just the unlabeled ones outside all the doors okay all right that's a critical medic button here,"['CriticalVictim', 'Plan', 'Medic']","[1, 20, 6]"
all right I'm going to click shoot,['Plan'],[20]
yeah this is medic engineer you want to take that's critical outside,"['Engineer', 'Medic']","[4, 6]"
okay all right this is C this is about a transporter we have a critical sight here,"['CriticalVictim', 'Transporter']","[1, 5]"
type a text to it okay enter your D1 on,"['Room', 'Move', 'Victim']","[3, 10, 2]"
I Engineer about to go look at this one looks like there is all right I am going to leave a type B here for you to pick up and bring outside,"['Plan', 'KnowledgeSharing', 'Victim']","[20, 13, 2]"
type B and put it outside,['Victim'],[2]
the map Reese connected that's nice let's go over to like I said try this one,['0'],[0]
nothing,['0'],[0]
okay I'm not sure this is medic and friend zone 7 I can't see if you want to break your little bit of that,"['Plan', 'Medic']","[20, 6]"
I think all right this is my like engineer I'm going into C6 all right there's a critical in here adorable,"['Room', 'CriticalVictim', 'Plan', 'Engineer', 'Move', 'KnowledgeSharing']","[3, 1, 20, 4, 10, 13]"
but I'm stuck it's inside of C6,"['HelpRequest', 'Room']","[16, 3]"
open an SOS where I am,['Question'],[17]
okay transport there's a critical in here if you want to come take it really quick,"['CriticalVictim', 'Transporter']","[1, 5]"
I need someone close by,['0'],[0]
all right engineer here,['Engineer'],[4]
a type A outside but you know I'll take the typefaces fox it's right here,"['Plan', 'Victim']","[20, 2]"
all right,['0'],[0]
C okay there's a critical I'm going to C2 medic,"['Room', 'CriticalVictim', 'KnowledgeSharing', 'Medic', 'Move']","[3, 1, 13, 6, 10]"
all right sis medic engineer do want to take the get critical outside,"['Engineer', 'Medic']","[4, 6]"
we're happy not checked,['0'],[0]
we got A3,['Room'],[3]
I don't know I don't think it'll get you to come over to B6 into New York's going to break these two blocks as medic,"['Room', 'Plan', 'Medic']","[3, 20, 6]"
all right and you have transporter out there's three criticals guys want to,"['CriticalVictim', 'Transporter']","[1, 5]"
all right transporter take that,"['Instruction', 'Transporter']","[19, 5]"
engineer takes out and since we have less this is medic things we don't have much time left let's just all take them down engineer if you want C here is C is the closest down to the South Zone C,"['Plan', 'Engineer', 'Engineer', 'Medic']","[20, 4, 4, 6]"
and then yeah okay this is medic and clear if you want to help probably hand off here person too,"['Medic', 'Precedence', 'Victim']","[6, 11, 2]"
and nice all right and I don't think we're going to get anywhere on time if i s,['0'],[0]
red para time yeah,['0'],[0]
yeah definitely during the second half we definitely improved a lot,['0'],[0]
I think during that the first half we were still like working on that new strategy but by the second half of sorry going like super quickly,['Plan'],[20]
this is the medic I'm done the survey,['Medic'],[6]
rejoining the server for an hour,['0'],[0]
I C,['0'],[0]
Block C,['0'],[0]
okay guys this is transporter just for our planning critical victims are probably going to be in the dangerous rooms so we're going to want to do those make sure that the we have the engineer with you when you're going in there,"['CriticalVictim', 'Engineer', 'Move', 'ReportLocation', 'Transporter']","[1, 4, 10, 14, 5]"
yes,['0'],[0]
this is engineer so this would be a rooms are going to be i4a E5 and C4 there's nine in total but those are the really severe ones and I'll go through and just mark them starting with the most severe first,"['Room', 'Plan', 'Room', 'Engineer']","[3, 20, 3, 4]"
okay,['0'],[0]
and then medic what was your information,"['Medic', 'Precedence']","[6, 11]"
okay,['0'],[0]
I just have that critical victims are most likely to be in areas with the most severe damage so I will be putting down markers and calling out if I need someone to come help me save people,"['Plan', 'CriticalVictim', 'Plan', 'Instruction', 'MarkerBlock']","[20, 1, 20, 19, 8]"
I also had a list of attendees for different like schedule so like I have like a management meeting and a lunch and a project meeting but I don't have any idea where those are,"['Question', 'Meeting', 'Meeting', 'Meeting']","[17, 9, 9, 9]"
I have those and room numbers so I have like A2 is human resources B9 is zoom2 from Office E4 security training and then,"['Room', 'Room', 'Room', 'Meeting', 'Precedence']","[3, 3, 3, 9, 11]"
this is medic sorry,['Medic'],[6]
is this is this engineer or is this medic okay in that case I do have a list so storage reorganization and then the zoom meetings and zoom meeting from Office are all canceled,"['Engineer', 'Medic', 'Meeting', 'Meeting', 'Precedence']","[4, 6, 9, 9, 11]"
I don't know if you're seeing that,['Plan'],[20]
okay so that's E5 B9 and I2 are going to not have people then most likely,"['Room', 'Room', 'Room', 'Precedence', 'ReportLocation']","[3, 3, 3, 11, 14]"
it might be,['0'],[0]
okay this is good to be a bit of a clusterfuck holy shit um I guess here's we could start on this um so the management meeting where the management meeting the lunch in the project meeting which one of those is the closest to our start,"['Meeting', 'Meeting', 'Meeting', 'Meeting']","[9, 9, 9, 9]"
M3 i4a and management project and most last when you said,['Room'],[3]
it's going to be management meeting project meeting and lunch,"['Meeting', 'Meeting', 'Meeting']","[9, 9, 9]"
lunch so that's,['Meeting'],[9]
M3 has danger by the way Rubble,"['Room', 'Rubble']","[3, 7]"
M3 i4a and D2,"['Room', 'Room']","[3, 3]"
yeah,['0'],[0]
okay if we want to start on i4a just to get some people moving,['Plan'],[20]
yeah i4a is the most severe I'll head over there with you guys,"['Plan', 'Move']","[20, 10]"
okay,['0'],[0]
all right sounds good,['0'],[0]
and then I'll just start working down this hallway when you guys start going through it yeah because there's loads of victims in here and then I'll work down here and then we can do as we go,"['Precedence', 'Victim', 'Plan', 'Plan', 'KnowledgeSharing', 'Plan', 'Move', 'Precedence', 'Precedence', 'Precedence']","[11, 2, 20, 20, 13, 20, 10, 11, 11, 11]"
i4a has Rubble we're going to need to wait for engineer,"['Engineer', 'Rubble']","[4, 7]"
so slow it's awesome,['0'],[0]
all right buddy,['0'],[0]
engineer can you come further in,"['Engineer', 'YesNoQuestion']","[4, 18]"
transporter I have critical victims if you could come take them come a little closer,"['Plan', 'CriticalVictim', 'KnowledgeSharing', 'Transporter']","[20, 1, 13, 5]"
perfect,['0'],[0]
all the ones in this room are getting critical,['0'],[0]
sweet,['0'],[0]
yeah yeah,['0'],[0]
I'm going to move them out right in front of the room again all the ones I'm placing here,"['Plan', 'Move']","[20, 10]"
as long as they're out in front of the room will be able to take care of them,['0'],[0]
I'm going to clear out I2 because that also has Rubble,"['Plan', 'Room', 'Rubble']","[20, 3, 7]"
okay I'm going to go on that um,['Plan'],[20]
the far right side I'm going to go down that hallway and mark the green rooms so the caves,"['Plan', 'Move']","[20, 10]"
I have a critical in j4 if someone could help me I am trapped in j4,"['HelpRequest', 'Plan', 'CriticalVictim', 'Instruction', 'Room', 'Room', 'KnowledgeSharing']","[16, 20, 1, 19, 3, 3, 13]"
Kai,['0'],[0]
do you want to put that one of those markers so that he knows for sure on the map,"['MarkerBlock', 'YesNoQuestion']","[8, 18]"
I don't know how he yeah,['0'],[0]
yes,['0'],[0]
the rocks in my shoes,['0'],[0]
right here you walk past,['Move'],[10]
try this out lag,['0'],[0]
okay this is B we don't have a marker for C,['MarkerBlock'],[8]
as long as if you just set them out there and don't have a marker on them I can go ahead and just assume the critical,"['CriticalVictim', 'Plan', 'MarkerBlock']","[1, 20, 8]"
okay,['0'],[0]
all right,['0'],[0]
okay I am setting a b up against the wall with the marker just because you are faster,['MarkerBlock'],[8]
unlucky,['0'],[0]
can you replace the marker at the end of that hallway there's one for a critical victim but I believe double-check the room but I believe I got that,"['CriticalVictim', 'MarkerBlock', 'YesNoQuestion']","[1, 8, 18]"
it's going to be the storage L here,['0'],[0]
okay,['0'],[0]
all right L1 just got clear down there's one guy I'm leaving the markers up from us,"['KnowledgeSharing', 'Room', 'MarkerBlock']","[13, 3, 8]"
C,['0'],[0]
correction tool of marker down here is still valid there's someone in a room,"['KnowledgeSharing', 'MarkerBlock']","[13, 8]"
all right,['0'],[0]
and then I'm coming down to that b room medic so then I'll be able to help you wake that critical up in a sec,"['Medic', 'Move', 'Move', 'Move', 'Precedence', 'Precedence']","[6, 10, 10, 10, 11, 11]"
all right thank you,['0'],[0]
I am trapped in j4 with rubble,"['HelpRequest', 'Room', 'Rubble']","[16, 3, 7]"
okay,['0'],[0]
j4 coming,['Room'],[3]
William,['0'],[0]
and then engineer will your here if you want to help me with the critical tool B appreciated,"['CriticalVictim', 'Engineer', 'Instruction', 'Precedence']","[1, 4, 19, 11]"
I'm going to start working on that middle Brown B for marking room for victims,"['Plan', 'Victim']","[20, 2]"
this is the what's it called The Transporter,['Transporter'],[5]
sorry,['0'],[0]
our Pinky,['0'],[0]
when I put a victim down in there is no marker by it is C,"['MarkerBlock', 'Victim']","[8, 2]"
yep,['0'],[0]
engineer if you could come to K4 there is Rubble I cannot access victims,"['Engineer', 'Room', 'Move', 'Rubble', 'Victim']","[4, 3, 10, 7, 2]"
all right,['0'],[0]
and engineer I am trapped in K2,"['HelpRequest', 'Engineer', 'Room']","[16, 4, 3]"
an A2,['Room'],[3]
yep and there was also a critical victim he would so it works out,['CriticalVictim'],[1]
you then about 10 years,['Precedence'],[11]
map,['0'],[0]
I'm to verify engineer you are going to the SOS marker on the right side right,"['Engineer', 'MarkerBlock']","[4, 8]"
I thought he said A2 bad,['Room'],[3]
shit,['0'],[0]
I sorry,['0'],[0]
there was a critical and A2 though so basically no,"['Room', 'CriticalVictim']","[3, 1]"
my bad,['0'],[0]
I am trapped in K2 with a critical case and kite,"['HelpRequest', 'CriticalVictim', 'Room']","[16, 1, 3]"
K2 okay,['Room'],[3]
honestly,['0'],[0]
did I move so slow painful drill Wi-Fi B Hall and cheeks,"['Move', 'YesNoQuestion']","[10, 18]"
double box you huh,['0'],[0]
yeah hello thank you,['0'],[0]
I'm about to sin again,['0'],[0]
gonna you wanna clear up the floor for that one,['0'],[0]
transporter between K1 and L1 there is a c victim,"['CriticalVictim', 'Room', 'KnowledgeSharing', 'Room', 'Transporter', 'Victim']","[1, 3, 13, 3, 5, 2]"
okay,['0'],[0]
and then I have a critical and M1 that I could use only,"['CriticalVictim', 'Room', 'Precedence']","[1, 3, 11]"
M1,['Room'],[3]
engineer it registered you through the wall so I cut a critical victim,"['CriticalVictim', 'Engineer']","[1, 4]"
awesome,['0'],[0]
2 C victim Zone the bottom wall,['Victim'],[2]
okay on my way,['Move'],[10]
and engineer if you could come back up too,"['Engineer', 'Move']","[4, 10]"
shit,['0'],[0]
please we got this one never mind oh I am trapped in K2 again,"['HelpRequest', 'Room']","[16, 3]"
help,['0'],[0]
not my not my proudest moment,['0'],[0]
and then wacky fun little update guys both of our C zones are blocked right now,['Precedence'],[11]
cool,['0'],[0]
clear,['0'],[0]
so since you're going to be engineer since you're heading to K2,"['Engineer', 'Room', 'Move']","[4, 3, 10]"
after that if you want to work on the bottom one I'm going to start putting the Seas outside of the bottom one,"['Plan', 'Precedence']","[20, 11]"
okay,['0'],[0]
and then you can just focus on clearing that,"['Plan', 'Precedence']","[20, 11]"
medic were you able to get out,['Medic'],[6]
yes,['0'],[0]
awesome,['0'],[0]
I am placing down some victims for you,['Victim'],[2]
Yep,['0'],[0]
good you're good you're good,['0'],[0]
sorry I put two v's down,['0'],[0]
could someone help me with a critical victim in M3,"['CriticalVictim', 'Instruction', 'HelpRequest', 'Room', 'YesNoQuestion']","[1, 19, 16, 3, 18]"
all right,['0'],[0]
yep I am on my way this is the transporter,"['Move', 'Transporter']","[10, 5]"
yeah yeah I just saw that,['0'],[0]
on the way,['0'],[0]
and engineer I am also trapped here let me give this to you transporter it's B,"['HelpRequest', 'Engineer', 'Transporter']","[16, 4, 5]"
okay just a sec I'll be right around,['0'],[0]
M3,['Room'],[3]
all right,['0'],[0]
yeah top right,['0'],[0]
yep,['0'],[0]
and could you come in so I can get the critical,"['CriticalVictim', 'Plan', 'RescueInteractions', 'YesNoQuestion']","[1, 20, 12, 18]"
yeah,['0'],[0]
I don't know why it didn't work right thank you,['0'],[0]
oh,['0'],[0]
I love a c,['0'],[0]
there we go and then you know kind of C1 was I think I said that,"['Room', 'Move', 'Precedence', 'Precedence']","[3, 10, 11, 11]"
K1 C let me put them down please,"['Instruction', 'Room']","[19, 3]"
i got them and then clear,"['Precedence', 'Precedence']","[11, 11]"
all right,['0'],[0]
there's a c outside of North Zone B,['0'],[0]
I'll get the C,['Plan'],[20]
well clear out north,['0'],[0]
Zone C,['0'],[0]
and then if you guys go to the the Far West Side there's quite a few critical Zone could be worked on,['Precedence'],[11]
alright um this is medic engineer in G3 there's some Rubble if you could clear that out I could get the person inside,"['Plan', 'Engineer', 'Room', 'KnowledgeSharing', 'Medic', 'Rubble', 'RescueInteractions', 'Victim']","[20, 4, 3, 13, 6, 7, 12, 2]"
where was it sorry,['0'],[0]
G3,['Room'],[3]
yes,['0'],[0]
G3 and transporter do you want to come down the C aisle and help move some of the critical Zone,"['CriticalVictim', 'Room', 'Transporter', 'YesNoQuestion']","[1, 3, 5, 18]"
G3 is clear and there's two non critical Zone,"['Room', 'KnowledgeSharing']","[3, 13]"
I am currently stuck in C 2,['HelpRequest'],[16]
yeah,['0'],[0]
C2,['Room'],[3]
on the way home,['0'],[0]
all right,['0'],[0]
in that case I'm going to start just working on marking more rooms as transporter,"['Plan', 'Transporter']","[20, 5]"
die every time I turn throw me off,['0'],[0]
oh,['0'],[0]
maximum casualties,['0'],[0]
guys I'm starting to think we're not going to get everyone,['Plan'],[20]
yeah,['0'],[0]
in that case we should probably focus on the on picking up the critical it's just because they're worth like 5 times,['CriticalVictim'],[1]
okay,['0'],[0]
all right,['0'],[0]
yeah I'm at C to let me go up to the one by C4 and then we can go down and do the two a one a two I need freedom,"['Room', 'Plan', 'Move', 'Move', 'Precedence']","[3, 20, 10, 10, 11]"
and then there's more Rubble,"['KnowledgeSharing', 'Precedence', 'Rubble']","[13, 11, 7]"
awesome engineer if you want to yeah there's more Rubble in here,"['Engineer', 'KnowledgeSharing', 'Rubble']","[4, 13, 7]"
and then we'll just need you to grab the door once this guy's healed,"['Plan', 'Precedence']","[20, 11]"
perfect I got the critical,"['CriticalVictim', 'KnowledgeSharing']","[1, 13]"
all right and then the other one is a type of B I will put him outside the door,"['Plan', 'Precedence', 'Victim']","[20, 11, 2]"
awesome engineer you want to come and grab the door,"['Engineer', 'Move']","[4, 10]"
this way,['0'],[0]
red hair,['0'],[0]
oh my God,['0'],[0]
oh my gosh no it's just,['0'],[0]
this way,['0'],[0]
sorry sorry,['0'],[0]
you get that way,['0'],[0]
other way directions are hard,['0'],[0]
okay,['0'],[0]
oh geez now she's been a red turn its meeting throws a 720,['Meeting'],[9]
medic the one you're holding is a b type right,"['Medic', 'Victim']","[6, 2]"
yep I put a marker by it,['MarkerBlock'],[8]
awesome,['0'],[0]
and then there's a critical and C4 if one of you guys can come with me,"['Room', 'CriticalVictim', 'Precedence']","[3, 1, 11]"
I got it,['0'],[0]
or engineer I got it,['Engineer'],[4]
got it,['0'],[0]
all right I'm gonna head down to a one and a two,['0'],[0]
I got them I got them,['0'],[0]
there's two normal ones not even worth except for seconds,"['KnowledgeSharing', 'Victim']","[13, 2]"
yep got it,['0'],[0]
this is b b as in boy yeah that's unfortunate,['0'],[0]
well you know we got over half the critical Zone,['CriticalVictim'],[1]
yeah,['0'],[0]
engineer you glad to be faster,['Engineer'],[4]
yeah it's pretty nice,['0'],[0]
