utt,extractions
I will one regular type A,"[{'attachments': [], 'end_offset': 26, 'labels': ['VictimTypeA', 'RegularVictim', 'Victim', 'Entity', 'Concept'], 'rule': 'victimA', 'span': 'type A', 'start_offset': 20}]"
my critical,[]
came to leave,"[{'attachments': [], 'end_offset': 14, 'labels': ['MoveFrom', 'Move', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'leave_no_location', 'span': 'leave', 'start_offset': 9}]"
that,[]
okay transporter here the whole map is labeled where do you guys need me now,"[{'attachments': [], 'end_offset': 5, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'okay', 'start_offset': 1}, {'attachments': [], 'end_offset': 36, 'labels': ['Map', 'Tool', 'Item', 'Concept'], 'rule': 'map_item', 'span': 'map', 'start_offset': 33}, {'attachments': [], 'end_offset': 17, 'labels': ['Transporter', 'Role', 'Entity', 'Concept'], 'rule': 'transporter', 'span': 'transporter', 'start_offset': 6}]"
everything got collapsed on South Zone C while I was trying to bring someone E3 bring a victim in,"[{'attachments': [], 'end_offset': 79, 'labels': ['E3', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_e3', 'span': 'E3', 'start_offset': 77}, {'attachments': [], 'end_offset': 33, 'labels': ['South', 'Cardinal', 'Direction', 'Concept'], 'rule': 'south', 'span': 'South', 'start_offset': 28}, {'attachments': [], 'end_offset': 94, 'labels': ['Victim', 'Entity', 'Concept'], 'rule': 'victim', 'span': 'victim', 'start_offset': 88}]"
hand me that victim and you can go,"[{'arguments': {'topic': [{'attachments': [{'agentType': 'Victim', 'labels': ['Victim', 'Entity', 'Concept'], 'span': [3], 'text': 'victim'}], 'end_offset': 34, 'labels': ['Move', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'move_keep_false', 'span': 'go', 'start_offset': 32}]}, 'attachments': [{'agentType': 'Victim', 'labels': ['Victim', 'Entity', 'Concept'], 'span': [3], 'text': 'victim'}], 'end_offset': 34, 'labels': ['MakeCommitment', 'Commitment', 'Plan', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'commit_to_something', 'span': 'can go', 'start_offset': 28}, {'attachments': [], 'end_offset': 19, 'labels': ['Victim', 'Entity', 'Concept'], 'rule': 'victim', 'span': 'victim', 'start_offset': 13}]"
what color or what letter,[]
C okay I'll just go across,"[{'attachments': [], 'end_offset': 7, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'okay', 'start_offset': 3}, {'arguments': {'topic': [{'attachments': [{'agentType': 'Self', 'labels': ['Self', 'Entity', 'Concept'], 'span': [2], 'text': 'I'}, {'value': 'future'}], 'end_offset': 20, 'labels': ['Move', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'move_keep_false', 'span': 'go', 'start_offset': 18}]}, 'attachments': [{'agentType': 'Self', 'labels': ['Self', 'Entity', 'Concept'], 'span': [2], 'text': 'I'}, {'value': 'future'}], 'end_offset': 20, 'labels': ['DeliberatePlan', 'Commitment', 'Plan', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'commit_to_something_plan-type', 'span': 'will just go', 'start_offset': 9}]"
critical c c yeah,"[{'attachments': [], 'end_offset': 18, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'yeah', 'start_offset': 14}]"
yeah if you could just clear this area engineer,"[{'attachments': [], 'end_offset': 5, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'yeah', 'start_offset': 1}, {'arguments': {'condition': [{'attachments': [], 'end_offset': 29, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'clear', 'start_offset': 24}], 'solution': [{'attachments': [], 'end_offset': 5, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'yeah', 'start_offset': 1}]}, 'attachments': [], 'end_offset': 29, 'labels': ['ContingentPlan', 'Plan', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'ConditionalIFGALLUP', 'span': 'yeah if you could just clear', 'start_offset': 1}, {'attachments': [], 'end_offset': 48, 'labels': ['Engineer', 'Role', 'Entity', 'Concept'], 'rule': 'engineer', 'span': 'engineer', 'start_offset': 40}]"
yeah you don't need you don't need you don't need a free South Zone C oh yeah whichever one you're closest to C North Zone C or South Zone C come to either because they're both trapped with rubble,"[{'attachments': [], 'end_offset': 5, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'yeah', 'start_offset': 1}, {'attachments': [], 'end_offset': 78, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'yeah', 'start_offset': 74}, {'attachments': [], 'end_offset': 185, 'labels': ['AmTrapped', 'HelpRequest', 'Need', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'trapped_A', 'span': 'trapped', 'start_offset': 178}, {'attachments': [], 'end_offset': 118, 'labels': ['North', 'Cardinal', 'Direction', 'Concept'], 'rule': 'north', 'span': 'North', 'start_offset': 113}, {'attachments': [], 'end_offset': 197, 'labels': ['Rubble', 'Obstacle', 'EventLike', 'Concept'], 'rule': 'rubble_detection', 'span': 'rubble', 'start_offset': 191}, {'attachments': [], 'end_offset': 134, 'labels': ['South', 'Cardinal', 'Direction', 'Concept'], 'rule': 'south', 'span': 'South', 'start_offset': 129}, {'attachments': [], 'end_offset': 63, 'labels': ['South', 'Cardinal', 'Direction', 'Concept'], 'rule': 'south', 'span': 'South', 'start_offset': 58}]"
I can C4 thing so,"[{'attachments': [], 'end_offset': 9, 'labels': ['C4', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_c4', 'span': 'C4', 'start_offset': 7}]"
thank you,"[{'attachments': [], 'end_offset': 6, 'labels': ['Gratitude', 'Positive', 'Sentiment', 'Concept'], 'rule': 'thank_you', 'span': 'thank', 'start_offset': 1}]"
South Zone C is open,"[{'attachments': [], 'end_offset': 5, 'labels': ['South', 'Cardinal', 'Direction', 'Concept'], 'rule': 'south', 'span': 'South', 'start_offset': 0}]"
alright where are we heading now,"[{'attachments': [], 'end_offset': 8, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'alright', 'start_offset': 1}, {'arguments': {'topic': [{'attachments': [{'agentType': 'Team', 'labels': ['Team', 'Entity', 'Concept'], 'span': [3], 'text': 'we'}], 'end_offset': 29, 'labels': ['Move', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'move_keep_false', 'span': 'heading', 'start_offset': 22}]}, 'attachments': [], 'end_offset': 29, 'labels': ['LocationQuestion', 'Question', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'location_moving_question', 'span': 'where are we heading', 'start_offset': 9}]"
there's a couple over B K1,"[{'attachments': [], 'end_offset': 26, 'labels': ['K1', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_k1', 'span': 'K1', 'start_offset': 24}]"
what,[]
checking,[]
there's this dude this dude critical,"[{'arguments': {'exists': [{'attachments': [], 'end_offset': 18, 'labels': ['Person', 'Entity', 'Concept'], 'rule': 'person_detection', 'span': 'dude', 'start_offset': 14}]}, 'attachments': [], 'end_offset': 18, 'labels': ['KnowledgeSharing', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'existential2', 'span': ""there 's this dude"", 'start_offset': 1}]"
yeah,"[{'attachments': [], 'end_offset': 5, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'yeah', 'start_offset': 1}]"
what was this guy what was this guy,[]
medic,"[{'attachments': [], 'end_offset': 6, 'labels': ['Medic', 'Role', 'Entity', 'Concept'], 'rule': 'medic_strict_token', 'span': 'medic', 'start_offset': 1}]"
B,[]
I'm not getting the sound effects for the points when I put this guy down,[]
how are you,[]
I was over there and supposedly that was a critical guy,"[{'attachments': [], 'end_offset': 56, 'labels': ['CriticalVictim', 'Victim', 'Entity', 'Concept'], 'rule': 'critical_victim_one', 'span': 'critical guy', 'start_offset': 44}]"
buttercup what is he,[]
transporter take this he's a b b,"[{'attachments': [], 'end_offset': 12, 'labels': ['Transporter', 'Role', 'Entity', 'Concept'], 'rule': 'transporter', 'span': 'transporter', 'start_offset': 1}]"
let's go over to what did we get the one at M1,"[{'arguments': {'topic': [{'attachments': [], 'end_offset': 9, 'labels': ['Move', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'move_keep_false', 'span': 'go', 'start_offset': 7}]}, 'attachments': [], 'end_offset': 9, 'labels': ['Instruction', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'instruction_command_topic_let', 'span': ""let 's go"", 'start_offset': 1}, {'attachments': [], 'end_offset': 47, 'labels': ['M1', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_m1', 'span': 'M1', 'start_offset': 45}]"
open up,"[{'attachments': [], 'end_offset': 5, 'labels': ['Instruction', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'instruction_command', 'span': 'open', 'start_offset': 1}]"
M1 and then we head up to j4 I4,"[{'attachments': [], 'end_offset': 32, 'labels': ['I4', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_i4', 'span': 'I4', 'start_offset': 30}, {'attachments': [], 'end_offset': 29, 'labels': ['J4', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_j4', 'span': 'j4', 'start_offset': 27}, {'attachments': [], 'end_offset': 3, 'labels': ['M1', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_m1', 'span': 'M1', 'start_offset': 1}, {'arguments': {'target': [{'attachments': [], 'end_offset': 32, 'labels': ['I4', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_i4', 'span': 'I4', 'start_offset': 30}]}, 'attachments': [{'agentType': 'Team', 'labels': ['Team', 'Entity', 'Concept'], 'span': [3], 'text': 'we'}], 'end_offset': 32, 'labels': ['MoveTo', 'Move', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'move_nmod_action', 'span': 'head up to j4 I4', 'start_offset': 16}, {'arguments': {'second': [{'arguments': {'target': [{'attachments': [], 'end_offset': 32, 'labels': ['I4', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_i4', 'span': 'I4', 'start_offset': 30}]}, 'attachments': [{'agentType': 'Team', 'labels': ['Team', 'Entity', 'Concept'], 'span': [3], 'text': 'we'}], 'end_offset': 32, 'labels': ['MoveTo', 'Move', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'move_nmod_action', 'span': 'head up to j4 I4', 'start_offset': 16}]}, 'attachments': [], 'end_offset': 32, 'labels': ['Precedence', 'ComplexAction', 'Action', 'EventLike', 'Concept'], 'rule': 'precedence1', 'span': 'then we head up to j4 I4', 'start_offset': 8}]"
pass,[]
I think one of the victims are in the wrong room,"[{'arguments': {'location': [{'attachments': [], 'end_offset': 49, 'labels': ['Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_detection', 'span': 'wrong room', 'start_offset': 39}]}, 'attachments': [{'agentType': 'Victim', 'labels': ['Victim', 'Entity', 'Concept'], 'span': [5], 'text': 'victims'}], 'end_offset': 49, 'labels': ['ReportLocation', 'ReportStatus', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'location_report', 'span': 'are in the wrong room', 'start_offset': 28}, {'attachments': [], 'end_offset': 27, 'labels': ['Victim', 'Entity', 'Concept'], 'rule': 'victim', 'span': 'victims', 'start_offset': 20}]"
on the south side or north side,"[{'attachments': [], 'end_offset': 27, 'labels': ['North', 'Cardinal', 'Direction', 'Concept'], 'rule': 'north', 'span': 'north', 'start_offset': 22}, {'attachments': [], 'end_offset': 13, 'labels': ['South', 'Cardinal', 'Direction', 'Concept'], 'rule': 'south', 'span': 'south', 'start_offset': 8}]"
Southside okay,"[{'attachments': [], 'end_offset': 15, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'okay', 'start_offset': 11}]"
Southside Vermont I'm not sure that I could be a glitch,[]
okay,"[{'attachments': [], 'end_offset': 5, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'okay', 'start_offset': 1}]"
caring critical Southside C,[]
I'm heading to I4 j4,"[{'attachments': [], 'end_offset': 18, 'labels': ['I4', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_i4', 'span': 'I4', 'start_offset': 16}, {'attachments': [], 'end_offset': 21, 'labels': ['J4', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_j4', 'span': 'j4', 'start_offset': 19}, {'arguments': {'target': [{'attachments': [], 'end_offset': 21, 'labels': ['J4', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_j4', 'span': 'j4', 'start_offset': 19}]}, 'attachments': [{'agentType': 'Self', 'labels': ['Self', 'Entity', 'Concept'], 'span': [0], 'text': 'I'}], 'end_offset': 21, 'labels': ['MoveTo', 'Move', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'move_nmod_action', 'span': 'heading to I4 j4', 'start_offset': 5}]"
actually if you want to carry it this one to C transport,"[{'attachments': [], 'end_offset': 57, 'labels': ['Transporter', 'Role', 'Entity', 'Concept'], 'rule': 'transporter', 'span': 'transport', 'start_offset': 48}]"
engineer a medic coming to I4 in j4,"[{'attachments': [], 'end_offset': 9, 'labels': ['Engineer', 'Role', 'Entity', 'Concept'], 'rule': 'engineer', 'span': 'engineer', 'start_offset': 1}, {'attachments': [], 'end_offset': 30, 'labels': ['I4', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_i4', 'span': 'I4', 'start_offset': 28}, {'attachments': [], 'end_offset': 36, 'labels': ['J4', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_j4', 'span': 'j4', 'start_offset': 34}, {'attachments': [], 'end_offset': 17, 'labels': ['Medic', 'Role', 'Entity', 'Concept'], 'rule': 'medic_strict_token', 'span': 'medic', 'start_offset': 12}, {'arguments': {'target': [{'attachments': [], 'end_offset': 30, 'labels': ['I4', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_i4', 'span': 'I4', 'start_offset': 28}]}, 'attachments': [], 'end_offset': 30, 'labels': ['MoveTo', 'Move', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'move_nmod_action', 'span': 'coming to I4', 'start_offset': 18}]"
yeah there was a victim who needed to go to a and not C,"[{'attachments': [], 'end_offset': 5, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'yeah', 'start_offset': 1}, {'arguments': {'exists': [{'attachments': [], 'end_offset': 24, 'labels': ['Victim', 'Entity', 'Concept'], 'rule': 'victim', 'span': 'victim', 'start_offset': 18}]}, 'attachments': [{'value': 'past'}], 'end_offset': 24, 'labels': ['KnowledgeSharing', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'existential', 'span': 'there was a victim', 'start_offset': 6}, {'arguments': {'action': [{'attachments': [{'agentType': 'Victim', 'labels': ['Victim', 'Entity', 'Concept'], 'span': [4], 'text': 'victim'}], 'end_offset': 41, 'labels': ['Move', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'move_keep_false', 'span': 'go', 'start_offset': 39}]}, 'attachments': [{'agentType': 'Victim', 'labels': ['Victim', 'Entity', 'Concept'], 'span': [4], 'text': 'victim'}, {'value': 'past'}], 'end_offset': 41, 'labels': ['NeedAction', 'Need', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'prep_need_action', 'span': 'needed to go', 'start_offset': 29}, {'attachments': [], 'end_offset': 24, 'labels': ['Victim', 'Entity', 'Concept'], 'rule': 'victim', 'span': 'victim', 'start_offset': 18}]"
oh my God there's three criticals transporter coming to die for,"[{'attachments': [], 'end_offset': 46, 'labels': ['Transporter', 'Role', 'Entity', 'Concept'], 'rule': 'transporter', 'span': 'transporter', 'start_offset': 35}]"
on my way,"[{'attachments': [], 'end_offset': 10, 'labels': ['OnMyWay', 'Move', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'on_my_way', 'span': 'on my way', 'start_offset': 1}]"
can I want to stabilize,"[{'arguments': {'topic': [{'attachments': [], 'end_offset': 11, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'want', 'start_offset': 7}]}, 'attachments': [{'agentType': 'Self', 'labels': ['Self', 'Entity', 'Concept'], 'span': [1], 'text': 'I'}], 'end_offset': 11, 'labels': ['YesNoQuestion', 'Question', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'binary_question', 'span': 'can I want', 'start_offset': 1}]"
three critical Zone over here,"[{'attachments': [], 'end_offset': 20, 'labels': ['Location', 'EventLike', 'Concept'], 'rule': 'location_clumped', 'span': 'three critical Zone', 'start_offset': 1}, {'arguments': {'num': [{'attachments': [], 'end_offset': 6, 'labels': ['Number', 'Concept'], 'rule': 'numbers', 'span': 'three', 'start_offset': 1}]}, 'attachments': [], 'end_offset': 20, 'labels': ['Zone', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'zone_conj', 'span': 'three critical Zone', 'start_offset': 1}]"
come here way icon yep all particles,"[{'arguments': {'target': [{'attachments': [], 'end_offset': 10, 'labels': ['Deictic', 'Inferred', 'Location', 'EventLike', 'Concept'], 'rule': 'deictic_detection', 'span': 'here', 'start_offset': 6}]}, 'attachments': [], 'end_offset': 10, 'labels': ['MoveTo', 'Move', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'move_deixis_action', 'span': 'come here', 'start_offset': 1}]"
three critical c yeah,"[{'attachments': [], 'end_offset': 22, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'yeah', 'start_offset': 18}]"
okay I am in here,"[{'attachments': [], 'end_offset': 5, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'okay', 'start_offset': 1}, {'arguments': {'location': [{'attachments': [], 'end_offset': 18, 'labels': ['Deictic', 'Inferred', 'Location', 'EventLike', 'Concept'], 'rule': 'deictic_detection', 'span': 'here', 'start_offset': 14}]}, 'attachments': [{'agentType': 'Self', 'labels': ['Self', 'Entity', 'Concept'], 'span': [1], 'text': 'I'}], 'end_offset': 18, 'labels': ['ReportLocation', 'ReportStatus', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'location_report', 'span': 'am in here', 'start_offset': 8}]"
okay okay,"[{'attachments': [], 'end_offset': 10, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'okay', 'start_offset': 6}, {'attachments': [], 'end_offset': 5, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'okay', 'start_offset': 1}]"
going to North Zone C,"[{'attachments': [], 'end_offset': 15, 'labels': ['North', 'Cardinal', 'Direction', 'Concept'], 'rule': 'north', 'span': 'North', 'start_offset': 10}]"
okay I'm on my way back to I4,"[{'attachments': [], 'end_offset': 5, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'okay', 'start_offset': 1}, {'attachments': [], 'end_offset': 30, 'labels': ['I4', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_i4', 'span': 'I4', 'start_offset': 28}, {'attachments': [], 'end_offset': 19, 'labels': ['OnMyWay', 'Move', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'on_my_way', 'span': 'on my way', 'start_offset': 10}]"
no I think we're we carried out them all,"[{'attachments': [], 'end_offset': 3, 'labels': ['Disagreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'no_token_match', 'span': 'no', 'start_offset': 1}]"
is there anybody else there also j4 j4 has a critical by the way,"[{'attachments': [], 'end_offset': 54, 'labels': ['CriticalVictim', 'Victim', 'Entity', 'Concept'], 'rule': 'critical_solitary', 'span': 'critical', 'start_offset': 46}, {'attachments': [], 'end_offset': 39, 'labels': ['J4', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_j4', 'span': 'j4', 'start_offset': 37}, {'attachments': [], 'end_offset': 36, 'labels': ['J4', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_j4', 'span': 'j4', 'start_offset': 34}, {'arguments': {'exists': [{'attachments': [], 'end_offset': 54, 'labels': ['CriticalVictim', 'Victim', 'Entity', 'Concept'], 'rule': 'critical_solitary', 'span': 'critical', 'start_offset': 46}]}, 'attachments': [], 'end_offset': 54, 'labels': ['KnowledgeSharing', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'found_victim_have', 'span': 'has a critical', 'start_offset': 40}]"
if you guys have done that room yet,[]
all right,"[{'attachments': [], 'end_offset': 10, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agreement3', 'span': 'all right', 'start_offset': 1}]"
j4 has a hazard as well,"[{'attachments': [], 'end_offset': 3, 'labels': ['J4', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_j4', 'span': 'j4', 'start_offset': 1}]"
do we clear this out,"[{'arguments': {'topic': [{'attachments': [], 'end_offset': 11, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'clear', 'start_offset': 6}]}, 'attachments': [], 'end_offset': 11, 'labels': ['Instruction', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'instruction_command_topic', 'span': 'do we clear', 'start_offset': 0}, {'arguments': {'topic': [{'attachments': [], 'end_offset': 11, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'clear', 'start_offset': 6}]}, 'attachments': [{'agentType': 'Team', 'labels': ['Team', 'Entity', 'Concept'], 'span': [1], 'text': 'we'}], 'end_offset': 11, 'labels': ['YesNoQuestion', 'Question', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'binary_question', 'span': 'do we clear', 'start_offset': 0}]"
it's odd that there's no victim here,"[{'arguments': {'exists': [{'attachments': [], 'end_offset': 31, 'labels': ['NoVictim', 'Victim', 'Entity', 'Concept'], 'rule': 'no_victim_one', 'span': 'no victim', 'start_offset': 22}], 'location': [{'attachments': [], 'end_offset': 36, 'labels': ['Deictic', 'Inferred', 'Location', 'EventLike', 'Concept'], 'rule': 'deictic_detection', 'span': 'here', 'start_offset': 32}]}, 'attachments': [], 'end_offset': 36, 'labels': ['KnowledgeSharing', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'existential', 'span': ""there 's no victim here"", 'start_offset': 14}, {'attachments': [], 'end_offset': 31, 'labels': ['NoVictim', 'Victim', 'Entity', 'Concept'], 'rule': 'no_victim_one', 'span': 'no victim', 'start_offset': 22}]"
yeah,"[{'attachments': [], 'end_offset': 5, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'yeah', 'start_offset': 1}]"
okay I'll do it clear it out okay I thought you only carried two out okay,"[{'attachments': [], 'end_offset': 5, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'okay', 'start_offset': 1}, {'attachments': [], 'end_offset': 34, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'okay', 'start_offset': 30}, {'attachments': [], 'end_offset': 74, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'okay', 'start_offset': 70}, {'arguments': {'topic': [{'attachments': [{'value': 'future'}], 'end_offset': 13, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'do', 'start_offset': 11}]}, 'attachments': [{'agentType': 'Self', 'labels': ['Self', 'Entity', 'Concept'], 'span': [1], 'text': 'I'}, {'value': 'future'}], 'end_offset': 13, 'labels': ['DeliberatePlan', 'Commitment', 'Plan', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'commit_to_something_plan-type', 'span': 'will do', 'start_offset': 7}]"
we should be good,[]
yeah we're to go j4,"[{'attachments': [], 'end_offset': 4, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'yeah', 'start_offset': 0}, {'attachments': [], 'end_offset': 19, 'labels': ['J4', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_j4', 'span': 'j4', 'start_offset': 17}, {'arguments': {'target': [{'attachments': [], 'end_offset': 19, 'labels': ['J4', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_j4', 'span': 'j4', 'start_offset': 17}]}, 'attachments': [], 'end_offset': 19, 'labels': ['MoveTo', 'Move', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'move_nmod_action', 'span': 'go j4', 'start_offset': 14}]"
j4 is clear,"[{'attachments': [], 'end_offset': 3, 'labels': ['J4', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_j4', 'span': 'j4', 'start_offset': 1}, {'arguments': {'target': [{'attachments': [], 'end_offset': 3, 'labels': ['J4', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_j4', 'span': 'j4', 'start_offset': 1}]}, 'attachments': [], 'end_offset': 12, 'labels': ['RoomClear', 'RoomStatus', 'ReportStatus', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'room_clear', 'span': 'j4 is clear', 'start_offset': 1}]"
yeah,"[{'attachments': [], 'end_offset': 5, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'yeah', 'start_offset': 1}]"
j4 clear okay,"[{'attachments': [], 'end_offset': 14, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'okay', 'start_offset': 10}, {'attachments': [], 'end_offset': 3, 'labels': ['J4', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_j4', 'span': 'j4', 'start_offset': 1}]"
