utt,labels,tokenized
 correction tool of marker down here is still valid there's someone in a room,"MarkerBlock/YesNoQuestion{topic:{still valid}}/KnowledgeSharing{exists:{someone}, location:{in a room}}/Room","[8, 18, 3]"
 all right,0,[0]
 and then I'm coming down to that b room medic so then I'll be able to help you wake that critical up in a sec,"Movement{agent:{I}, target:{that b room}}/Room/Medic/Precedence{first:{I'am coming down}, second:{I will be able to help you}}/Triage{agent:{you}, target:{that critical}}/CriticalVictim","[10, 1]"
 all right thank you,0,[0]
 I am trapped in j4 with rubble,"ReportLocation{agent:{I}, location:{j4}}/Room/Rubble/HelpRequest{agent:{I}, location:{j4}}",[14]
 okay,0,[0]
 j4 coming,Room,[3]
 William,0,[0]
 and then engineer will your here if you want to help me with the critical tool B appreciated,"Engineer/YesNoQuestion{topic:{you}}/HelpRequest{agent:{me}, helper:{you}}/CriticalVictim","[4, 18, 1]"
 I'm going to start working on that middle Brown B for marking room for victims,"Plan{topic:{start working on}, agent:{I}}/MarkerBlock/Victim","[20, 8, 2]"
 this is the what's it called The Transporter,Transporter,[5]
 sorry,0,[0]
 our Pinky,0,[0]
 when I put a victim down in there is no marker by it is C,MarkerBlock,[8]
 yep,0,[0]
 engineer if you could come to K4 there is Rubble I cannot access victims,"Engineer/Room/Rubble/HelpRequest{location:{K4}, helper:{you}}/Victim","[4, 3, 7, 16, 2]"
 all right,0,[0]
 and engineer I am trapped in K2,"Engineer/Room/ReportLocation{agent:{I}, location:{K2}}/HelpRequest{agent:{I}, location:{K2}, helper:{enigneer}}","[4, 3, 14]"
 an A2,Room,[3]
yep and there was also a critical victim he would so it works out,KnowledgeSharing{exists:{a critical victim}}/CriticalVictim,"[13, 1]"
you then about 10 years,0,[0]
 map,0,[0]
I'm to verify engineer you are going to the SOS marker on the right side right,"Engineer/Plan{topic:{going to the SOS marker}, agent:{you}}/MarkerBlock","[4, 20, 8]"
I thought he said A2 bad,Room,[3]
 shit,0,[0]
 I sorry,0,[0]
 there was a critical and A2 though so basically no,"KnowledgeSharing{exists:{a critical}, location:{A2}}/Room","[13, 3]"
 my bad,0,[0]
 I am trapped in K2 with a critical case and kite,"ReportLocation{agent:{I}, location:{K2}}/HelpRequest{agent:{I}, location:{K2}}/CriticalVictim","[14, 1]"
 K2 okay,Room,[3]
 honestly,0,[0]
 did I move so slow painful drill Wi-Fi B Hall and cheeks,YesNoQuestion{topic:{I move so slow}},[18]
 double box you huh,0,[0]
 yeah hello thank you,0,[0]
 I'm about to sin again,"Plan{topic:{sin}, agent:{I}}",[20]
 gonna you wanna clear up the floor for that one,"Plan{topic:{clear up}, agent:{you}}",[20]
 transporter between K1 and L1 there is a c victim,"Transporter/Room/Room/CriticalVictim/KnowledgeSharing{exists:{c victim}, location:{between K1 and L1}}","[5, 3, 3, 1, 13]"
 okay,0,[0]
 and then I have a critical and M1 that I could use only,CriticalVictim/Room,"[1, 3]"
 M1,Room,[3]
 engineer it registered you through the wall so I cut a critical victim,Engineer/CriticalVictim,"[4, 1]"
 awesome,0,[0]
 2 C victim Zone the bottom wall,Victim,[2]
 okay on my way,Movement{agent:{my}},[10]
 and engineer if you could come back up too,Engineer/HelpRequest{helper:{you}},"[4, 16]"
 shit,0,[0]
 please we got this one never mind oh I am trapped in K2 again,"ReportLocation{agent:{I}, location:{K2}}/HelpRequest{agent:{I}, location:{K2}}",[14]
 help,HelpRequest,[16]
 not my not my proudest moment,0,[0]
 and then wacky fun little update guys both of our C zones are blocked right now,0,[0]
 cool,0,[0]
 clear,0,[0]
 so since you're going to be engineer since you're heading to K2,"Plan{topic:{to be engineer}, agent:{you}}/Movement{agent:{you}, target:{K2}}/Room","[20, 3]"
 after that if you want to work on the bottom one I'm going to start putting the Seas outside of the bottom one,"Plan{topic:{to start putting}, agent:{I}, condition:{if you want to work on}}",[20]
 okay,0,[0]
 and then you can just focus on clearing that,0,[0]
 medic were you able to get out,Medic/YesNoQuestion{topic:{you able to get out}},"[6, 18]"
 yes,0,[0]
 awesome,0,[0]
 I am placing down some victims for you,"Plan{topic:{placing down}, agent:{I}}/Victim","[20, 2]"
 Yep,0,[0]
 good you're good you're good,0,[0]
sorry I put two v's down,Victim,[2]
 could someone help me with a critical victim in M3,"HelpRequest{agent:{me}, location:{M3}, helper:{someone}}/CriticalVictim/Room","[16, 1, 3]"
 all right,0,[0]
yep I am on my way this is the transporter,Movement{agent:{i]}/Transporter,"[10, 5]"
 yeah yeah I just saw that,0,[0]
on the way,Movement,[10]
 and engineer I am also trapped here let me give this to you transporter it's B,"Engineer/HelpRequest{agent:{I}, loation:{here}, helper:{engineer}}/Transporter/ReportLocation{agent:{I}, location:{here}}","[4, 16]"
 okay just a sec I'll be right around,Movement{agent:{I}},[10]
 all right,0,[0]
M3,Room,[3]
 yeah top right,0,[0]
 yep,0,[0]
 and could you come in so I can get the critical,CriticalVictim,[1]
yeah,0,[0]
 I don't know why it didn't work right thank you,0,[0]
 oh,0,[0]
 I love a c,0,[0]
 there we go and then you know kind of C1 was I think I said that,Movement{agent:{we}}/Room,"[10, 3]"
 K1 C let me put them down please,Room,[3]
 i got them and then clear,0,[0]
 all right,0,[0]
 there's a c outside of North Zone B,"KnowledgeSharing{exists:{c}, location:{ouside of North Zone B}}/CriticalVictim","[13, 1]"
 I'll get the C,"Movement{agent:{I}, target:{the C}}",[10]
 well clear out north,0,[0]
 Zone C,0,[0]
 and then if you guys go to the the Far West Side there's quite a few critical Zone could be worked on,"KnowledgeSharing{agent:{a few critical Zone}, location:{the Far West Side}",[13]
 alright um this is medic engineer in G3 there's some Rubble if you could clear that out I could get the person inside,"Medic/Engineer/Room/Rubble/KnowledgeSharing{exists:{some Rubble}, location:{G3}}/Triage{}","[6, 4, 3, 7, 13]"
 where was it sorry,Question{topic:{it}},[17]
 G3,Room,[3]
 yes,0,[0]
 G3 and transporter do you want to come down the C aisle and help move some of the critical Zone,"Room/Transporter/YesNoQuestion{topic:{you want to come down}, location:{the C aisle}}/HelpRequest{helper:{you}}","[3, 5, 18]"
 G3 is clear and there's two non critical Zone,Room/KnowledgeSharing{exists:{two non critical Zone}},"[3, 13]"
 I am currently stuck in C 2,"ReportLocation{exists:{I}, location:{C 2}}/HelpRequest{agent:{I}, location:{C 2}}/Room","[14, 3]"
 yeah,0,[0]
 C2,Room,[3]
 on the way home,Movement,[10]
 all right,0,[0]
 in that case I'm going to start just working on marking more rooms as transporter,"Plan{topic:{start just working on}, agent:{I}}/MarkerBlock/Room/Transporter","[20, 8, 3, 5]"
 die every time I turn throw me off,0,[0]
 oh,0,[0]
 maximum casualties,0,[0]
 guys I'm starting to think we're not going to get everyone,"Plan{topic:{get everyone}, agent:{we}}",[20]
 yeah,0,[0]
 in that case we should probably focus on the on picking up the critical it's just because they're worth like 5 times,"Instruction{topic:{should focus on}, agent:{we}}/CriticalVictim","[19, 1]"
 okay,0,[0]
 all right,0,[0]
 yeah I'm at C to let me go up to the one by C4 and then we can go down and do the two a one a two I need freedom,"ReportLocation{agent:{I}, location:{C}}/Room/Precedence{first:{let me go up to}, second:{we can go down}}",[14]
 and then there's more Rubble,Precedence{second:{then}}/KnowledgeSharing{exists:{more Rubble}}/Rubble,"[11, 7]"
 awesome engineer if you want to yeah there's more Rubble in here,"Engineer/KnowledgeSharing{exists:{more Rubble}, location:{in here}}/Rubble","[4, 13, 7]"
 and then we'll just need you to grab the door once this guy's healed,"Precedence{second:{then}}/HelpRequest{agent:{we}, helper:{you}}",[11]
 perfect I got the critical,CriticalVictim,[1]
 all right and then the other one is a type of B I will put him outside the door,"Precedence{second:{then}}/Victim/Triage{agent:{I}, target:{him}, location:{outside the door}}/Victim","[11, 2]"
 awesome engineer you want to come and grab the door,Engineer,[4]
 this way,0,[0]
 red hair,0,[0]
 oh my God,0,[0]
 oh my gosh no it's just,0,[0]
 this way,0,[0]
sorry sorry,0,[0]
you get that way,0,[0]
other way directions are hard,0,[0]
 okay,0,[0]
 oh geez now she's been a red turn its meeting throws a 720,Meeting,[9]
 medic the one you're holding is a b type right,Medic/Victim/YesNoQuestion{topic:{the one you're holding}},"[6, 2, 18]"
 yep I put a marker by it,MarkerBlock,[8]
 awesome,0,[0]
 and then there's a critical and C4 if one of you guys can come with me,Precedence{second:{then}}/CriticalVictim/KnowledgeSharing{exists:{a critical}}/Room,"[11, 3]"
 I got it,0,[0]
 or engineer I got it,Engineer,[4]
 got it,0,[0]
 all right I'm gonna head down to a one and a two,"Movement{agent:{I}, target:{to a one}}/Victim/Victim","[10, 2, 2]"
 I got them I got them,Victim/Victim,"[2, 2]"
 there's two normal ones not even worth except for seconds,KnowledgeSharing{exists:{two normal ones}}/Victim,"[13, 2]"
 yep got it,0,[0]
 this is b b as in boy yeah that's unfortunate,Victim/Victim,"[2, 2]"
 well you know we got over half the critical Zone,0,[0]
 yeah,0,[0]
 engineer you glad to be faster,Engineer,[4]
 yeah it's pretty nice,0,[0]
 I was so slow and then just,0,[0]
 did I'm feeling so slow right now as the as the,YesNoQuestion{topic:{I’m feeling}},[18]
 guy,0,[0]
 do playing it 5fps that's hurting,Instruction{topic:{playing}},[19]
 I think we did great,0,[0]
 yeah I mean we got over half the points,0,[0]
 crank 90s on these casualties,Victim,[2]
 red,0,[0]
 okay thanks,0,[0]
this is transporter just finished the survey,Transporter,[5]
who's engineer and finished as well,Engineer,[4]
and this is medic I'm also done,Medic,[6]
other Red Door still there,KnowledgeSharing{exists:{other Red Door}},[13]
this is medic I'm back,Medic,[6]
 ready,0,[0]
okay I will not,0,[0]
wait did you say transporter I'm back,YesNoQuestion{topic:{you say}}/Transporter,"[18, 5]"
yeah sorry,0,[0]
oh sorry whoops all right,0,[0]
 okay so we kind of got fucked on the doors last game so what I'm thinking what I'm thinking is if we focus on the left side I think there's going to be a lot more where it's just a single door with multiple victims in it,KnowledgeSharing{exists:{a lot more}}/Victim,"[13, 2]"
yeah that's that's a good idea because I kept as medic I kept getting in situations where I was just kind of Trapped in a room and waiting for engineer to make the painful Trek across the map to come rescue me,Medic/Engineer,"[6, 4]"
 exactly and then also,0,[0]
 there's a lot of damage on the left side like we have one c a b d yeah there's like five damaged rooms in there and that's all in the left hand side so it'll be a good place to focus,"KnowledgeSharing{exists:{a lot of damage}, location:{on the left side}}/KnowledgeSharing{exists:{like five damaged rooms}, location:{in there}}/KnowledgeSharing{exists:{that}, location:{in the left}}",[13]
door room numbers for the damaged rooms,Room/Room,"[3, 3]"
yeah so yeah so I can start off in A1 and then go up to b 2,"Room/Precedence{first:{can start off}, second:{go up to b 2}}/Room","[3, 11, 3]"
 okay there's also a meeting there I have a list of Zoom meeting and Facilities meeting,Meeting/Meeting/Meeting,"[9, 9, 9]"
 okay because zoom2 meeting got canceled both of the zoom or Zoom meeting and zoom2,Meeting/Meeting,"[9, 9]"
 okay so there is,0,[0]
 yeah so both A1 and A4 but B2 is facilities meeting,Room/Room/Room/Meeting,"[3, 3, 3, 9]"
 your list me all of the meetings that were canceled today,Meeting,[9]
 okay and then does,0,[0]
 so for me the technical exchange the lunch and the management have the most attendees,0,[0]
 all the room B is mention have known damaged by the way like B6 M1 into it,Room/Room/Room,"[3, 3, 3]"
 okay good to know,0,[0]
 and I case yeah if we want to just start out doing the same strategy before here on the left side like leftmost and then just work back,"Precedence{first:{we want to just start out}, second:{just work back}}",[11]
 make sure to look at B2 and B6 when you have the chance because I have a feeling there's going to be critical in there,Room/Room/Instruction{topic:{make sure to look at}},"[3, 3, 19]"
 yeah especially B6 that one should be pretty happy,Room,[3]
 yeah B2 is got critical in there,Room,[3]
 make sure market with the,0,[0]
 make sure the market,0,[0]
 yeah there's loads of critical Zone over here,"KnowledgeSharing{exists:{loads of critical Zone}, location:{over here}}",[13]
 awesome I'll start moving those,"Plan{topic:{start moving}, agent:{I}}",[20]
 yeah that probably the place to go,0,[0]
 yeah,0,[0]
 are all three of these critical,YesNoQuestion{topic:all three of these}}/Room,"[18, 3]"
 yep L3,Room,[3]
 B3,Room,[3]
 all right,0,[0]
 all right there's a critical that way this way,KnowledgeSharing{exists:{a critical}},[13]
 the no victim sign next to the C ones just so there's a marker next to them,"Victim/Room/MarkerBlock/KnowledgeSharing{exists:{a marker}, loction:{next to them}}","[2, 3, 8, 13]"
 it should be clear,0,[0]
 yeah um can someone come with me to B2,YesNoQuestion{topic:{someone come with me}}/Room/HelpRequest{helper:{someone}}/Room,"[18, 3]"
D2 yeah,Room,[3]
 right here,0,[0]
 if my wish were walking past everything,0,[0]
 then we don't end up mistaking it for thinking we already cleared that spot,Precedence{second:{then}},[11]
 do you want me to put that next to the ones that,YesNoQuestion{topic:{you want me to put that}},[18]
 all right,0,[0]
 transporter was there another victim in b 1,Transporter/YesNoQuestion{topic: there another victim}}/Victim,"[5, 18, 2]"
 okay because I went through earlier and I didn't see another one so I'm marking it clear for now,MarkerBlock,[8]
 I can do a quick run through here in a sec,0,[0]
 awesome I'm double-checking B1,Room,[3]
 critical and normal one and D4,CriticalVictim/Victim/Room,"[1, 2, 3]"
 yeah,0,[0]
 awesome I'll go and check F4 here next I'm just marking one last role of victim,"Plan{topic:{go and check F4}, agent:{I}}/Room/MarkerBlock/Victim","[20, 3, 8, 2]"
 A4 has Rubble I'll come back over that one,"Room/Rubble/Plan{topic:{come back}, agent:{I}}","[3, 7, 20]"
 all right,0,[0]
 medic you're locked in,Medic,[6]
 which one,0,[0]
